,Year,City,Median Income
987,2015,"Phoenix, AZ",48452
988,2014,"Phoenix, AZ",47929
989,2013,"Phoenix, AZ",46601
990,2018,"Phoenix, AZ",57957
991,2017,"Phoenix, AZ",56696
992,2016,"Phoenix, AZ",52062
993,2015,"Phoenix, AZ",48452
994,2014,"Phoenix, AZ",47929
995,2013,"Phoenix, AZ",46601
996,2018,"Phoenix, AZ",57957
997,2017,"Phoenix, AZ",56696
998,2016,"Phoenix, AZ",52062
999,2015,"Phoenix, AZ",48452
1000,2014,"Phoenix, AZ",47929
1001,2013,"Phoenix, AZ",46601
1002,2018,"Phoenix, AZ",57957
1003,2017,"Phoenix, AZ",56696
1004,2016,"Phoenix, AZ",52062
1005,2015,"Phoenix, AZ",48452
1006,2014,"Phoenix, AZ",47929
1007,2013,"Phoenix, AZ",46601
1008,2018,"Pittsburgh, PA",47417
1009,2017,"Pittsburgh, PA",45851
1010,2016,"Pittsburgh, PA",44707
1011,2015,"Pittsburgh, PA",41293
1012,2014,"Pittsburgh, PA",41074
1013,2013,"Pittsburgh, PA",42004
1014,2018,"Pittsburgh, PA",47417
1015,2017,"Pittsburgh, PA",45851
1016,2016,"Pittsburgh, PA",44707
1017,2015,"Pittsburgh, PA",41293
1018,2014,"Pittsburgh, PA",41074
1019,2013,"Pittsburgh, PA",42004
1020,2018,"Pittsburgh, PA",47417
1021,2017,"Pittsburgh, PA",45851
1022,2016,"Pittsburgh, PA",44707
1023,2015,"Pittsburgh, PA",41293
1024,2014,"Pittsburgh, PA",41074
1025,2013,"Pittsburgh, PA",42004
1026,2018,"Pittsburgh, PA",47417
1027,2017,"Pittsburgh, PA",45851
1028,2016,"Pittsburgh, PA",44707
1029,2015,"Pittsburgh, PA",41293
1030,2014,"Pittsburgh, PA",41074
1031,2013,"Pittsburgh, PA",42004
1032,2018,"Pittsburgh, PA",47417
1033,2017,"Pittsburgh, PA",45851
1034,2016,"Pittsburgh, PA",44707
1035,2015,"Pittsburgh, PA",41293
1036,2014,"Pittsburgh, PA",41074
1037,2013,"Pittsburgh, PA",42004
1038,2018,"Pittsburgh, PA",47417
1039,2017,"Pittsburgh, PA",45851
1040,2016,"Pittsburgh, PA",44707
1041,2015,"Pittsburgh, PA",41293
1042,2014,"Pittsburgh, PA",41074
1043,2013,"Pittsburgh, PA",42004
1044,2018,"Portland, OR",73097
1045,2017,"Portland, OR",66187
1046,2016,"Portland, OR",62127
1047,2015,"Portland, OR",60892
1048,2014,"Portland, OR",54624
1049,2013,"Portland, OR",55571
1050,2018,"Portland, OR",73097
1051,2017,"Portland, OR",66187
1052,2016,"Portland, OR",62127
1053,2015,"Portland, OR",60892
1054,2014,"Portland, OR",54624
1055,2013,"Portland, OR",55571
1056,2018,"Portland, OR",73097
1057,2017,"Portland, OR",66187
1058,2016,"Portland, OR",62127
1059,2015,"Portland, OR",60892
1060,2014,"Portland, OR",54624
1061,2013,"Portland, OR",55571
1062,2018,"Portland, OR",73097
1063,2017,"Portland, OR",66187
1064,2016,"Portland, OR",62127
1065,2015,"Portland, OR",60892
1066,2014,"Portland, OR",54624
1067,2013,"Portland, OR",55571
1068,2018,"Portland, OR",73097
1069,2017,"Portland, OR",66187
1070,2016,"Portland, OR",62127
1071,2015,"Portland, OR",60892
1072,2014,"Portland, OR",54624
1073,2013,"Portland, OR",55571
1074,2018,"Portland, OR",73097
1075,2017,"Portland, OR",66187
1076,2016,"Portland, OR",62127
1077,2015,"Portland, OR",60892
1078,2014,"Portland, OR",54624
1079,2013,"Portland, OR",55571
1080,2018,"Raleigh, NC",65695
1081,2017,"Raleigh, NC",64660
1082,2016,"Raleigh, NC",64456
1083,2015,"Raleigh, NC",56910
1084,2014,"Raleigh, NC",53475
1085,2013,"Raleigh, NC",55170
1086,2018,"Raleigh, NC",65695
1087,2017,"Raleigh, NC",64660
1088,2016,"Raleigh, NC",64456
1089,2015,"Raleigh, NC",56910
1090,2014,"Raleigh, NC",53475
1091,2013,"Raleigh, NC",55170
1092,2018,"Raleigh, NC",65695
1093,2017,"Raleigh, NC",64660
1094,2016,"Raleigh, NC",64456
1095,2015,"Raleigh, NC",56910
1096,2014,"Raleigh, NC",53475
1097,2013,"Raleigh, NC",55170
1098,2018,"Raleigh, NC",65695
1099,2017,"Raleigh, NC",64660
1100,2016,"Raleigh, NC",64456
1101,2015,"Raleigh, NC",56910
1102,2014,"Raleigh, NC",53475
1103,2013,"Raleigh, NC",55170
1104,2018,"Raleigh, NC",65695
1105,2017,"Raleigh, NC",64660
1106,2016,"Raleigh, NC",64456
1107,2015,"Raleigh, NC",56910
1108,2014,"Raleigh, NC",53475
1109,2013,"Raleigh, NC",55170
1110,2018,"Raleigh, NC",65695
1111,2017,"Raleigh, NC",64660
1112,2016,"Raleigh, NC",64456
1113,2015,"Raleigh, NC",56910
1114,2014,"Raleigh, NC",53475
1115,2013,"Raleigh, NC",55170
1116,2018,"Richmond, VA",45117
1117,2017,"Richmond, VA",42356
1118,2016,"Richmond, VA",41187
1119,2015,"Richmond, VA",40758
1120,2014,"Richmond, VA",41331
1121,2013,"Richmond, VA",40496
1122,2018,"Richmond, VA",45117
1123,2017,"Richmond, VA",42356
1124,2016,"Richmond, VA",41187
1125,2015,"Richmond, VA",40758
1126,2014,"Richmond, VA",41331
1127,2013,"Richmond, VA",40496
1128,2018,"Richmond, VA",45117
1129,2017,"Richmond, VA",42356
1130,2016,"Richmond, VA",41187
1131,2015,"Richmond, VA",40758
1132,2014,"Richmond, VA",41331
1133,2013,"Richmond, VA",40496
1134,2018,"Richmond, VA",45117
1135,2017,"Richmond, VA",42356
1136,2016,"Richmond, VA",41187
1137,2015,"Richmond, VA",40758
1138,2014,"Richmond, VA",41331
1139,2013,"Richmond, VA",40496
1140,2018,"Richmond, VA",45117
1141,2017,"Richmond, VA",42356
1142,2016,"Richmond, VA",41187
1143,2015,"Richmond, VA",40758
1144,2014,"Richmond, VA",41331
1145,2013,"Richmond, VA",40496
1146,2018,"Richmond, VA",45117
1147,2017,"Richmond, VA",42356
1148,2016,"Richmond, VA",41187
1149,2015,"Richmond, VA",40758
1150,2014,"Richmond, VA",41331
1151,2013,"Richmond, VA",40496
1152,2018,"Roanoke, VA",43028
1153,2017,"Roanoke, VA",41483
1154,2016,"Roanoke, VA",39201
1155,2015,"Roanoke, VA",39930
1156,2014,"Roanoke, VA",39530
1157,2013,"Roanoke, VA",38145
1158,2018,"Roanoke, VA",43028
1159,2017,"Roanoke, VA",41483
1160,2016,"Roanoke, VA",39201
1161,2015,"Roanoke, VA",39930
1162,2014,"Roanoke, VA",39530
1163,2013,"Roanoke, VA",38145
1164,2018,"Roanoke, VA",43028
1165,2017,"Roanoke, VA",41483
1166,2016,"Roanoke, VA",39201
1167,2015,"Roanoke, VA",39930
1168,2014,"Roanoke, VA",39530
1169,2013,"Roanoke, VA",38145
1170,2018,"Roanoke, VA",43028
1171,2017,"Roanoke, VA",41483
1172,2016,"Roanoke, VA",39201
1173,2015,"Roanoke, VA",39930
1174,2014,"Roanoke, VA",39530
1175,2013,"Roanoke, VA",38145
1176,2018,"Roanoke, VA",43028
1177,2017,"Roanoke, VA",41483
1178,2016,"Roanoke, VA",39201
1179,2015,"Roanoke, VA",39930
1180,2014,"Roanoke, VA",39530
1181,2013,"Roanoke, VA",38145
1182,2018,"Roanoke, VA",43028
1183,2017,"Roanoke, VA",41483
1184,2016,"Roanoke, VA",39201
1185,2015,"Roanoke, VA",39930
1186,2014,"Roanoke, VA",39530
1187,2013,"Roanoke, VA",38145
1188,2018,"Sacramento, CA",65046
1189,2017,"Sacramento, CA",56943
1190,2016,"Sacramento, CA",55187
1191,2015,"Sacramento, CA",52151
1192,2014,"Sacramento, CA",48829
1193,2013,"Sacramento, CA",48034
1194,2018,"Sacramento, CA",65046
1195,2017,"Sacramento, CA",56943
1196,2016,"Sacramento, CA",55187
1197,2015,"Sacramento, CA",52151
1198,2014,"Sacramento, CA",48829
1199,2013,"Sacramento, CA",48034
1200,2018,"Sacramento, CA",65046
1201,2017,"Sacramento, CA",56943
1202,2016,"Sacramento, CA",55187
1203,2015,"Sacramento, CA",52151
1204,2014,"Sacramento, CA",48829
1205,2013,"Sacramento, CA",48034
1206,2018,"Sacramento, CA",65046
1207,2017,"Sacramento, CA",56943
1208,2016,"Sacramento, CA",55187
1209,2015,"Sacramento, CA",52151
1210,2014,"Sacramento, CA",48829
1211,2013,"Sacramento, CA",48034
1212,2018,"Sacramento, CA",65046
1213,2017,"Sacramento, CA",56943
1214,2016,"Sacramento, CA",55187
1215,2015,"Sacramento, CA",52151
1216,2014,"Sacramento, CA",48829
1217,2013,"Sacramento, CA",48034
1218,2018,"Sacramento, CA",65046
1219,2017,"Sacramento, CA",56943
1220,2016,"Sacramento, CA",55187
1221,2015,"Sacramento, CA",52151
1222,2014,"Sacramento, CA",48829
1223,2013,"Sacramento, CA",48034
1224,2018,"San Diego, CA",79646
1225,2017,"San Diego, CA",76662
1226,2016,"San Diego, CA",71481
1227,2015,"San Diego, CA",67871
1228,2014,"San Diego, CA",67799
1229,2013,"San Diego, CA",63456
1230,2018,"San Diego, CA",79646
1231,2017,"San Diego, CA",76662
1232,2016,"San Diego, CA",71481
1233,2015,"San Diego, CA",67871
1234,2014,"San Diego, CA",67799
1235,2013,"San Diego, CA",63456
1236,2018,"San Diego, CA",79646
1237,2017,"San Diego, CA",76662
1238,2016,"San Diego, CA",71481
1239,2015,"San Diego, CA",67871
1240,2014,"San Diego, CA",67799
1241,2013,"San Diego, CA",63456
1242,2018,"San Diego, CA",79646
1243,2017,"San Diego, CA",76662
1244,2016,"San Diego, CA",71481
1245,2015,"San Diego, CA",67871
1246,2014,"San Diego, CA",67799
1247,2013,"San Diego, CA",63456
1248,2018,"San Diego, CA",79646
1249,2017,"San Diego, CA",76662
1250,2016,"San Diego, CA",71481
1251,2015,"San Diego, CA",67871
1252,2014,"San Diego, CA",67799
1253,2013,"San Diego, CA",63456
1254,2018,"San Diego, CA",79646
1255,2017,"San Diego, CA",76662
1256,2016,"San Diego, CA",71481
1257,2015,"San Diego, CA",67871
1258,2014,"San Diego, CA",67799
1259,2013,"San Diego, CA",63456
1260,2018,"San Francisco, CA",112376
1261,2017,"San Francisco, CA",110816
1262,2016,"San Francisco, CA",103801
1263,2015,"San Francisco, CA",92094
1264,2014,"San Francisco, CA",85070
1265,2013,"San Francisco, CA",77485
1266,2018,"San Francisco, CA",112376
1267,2017,"San Francisco, CA",110816
1268,2016,"San Francisco, CA",103801
1269,2015,"San Francisco, CA",92094
1270,2014,"San Francisco, CA",85070
1271,2013,"San Francisco, CA",77485
1272,2018,"San Francisco, CA",112376
1273,2017,"San Francisco, CA",110816
1274,2016,"San Francisco, CA",103801
1275,2015,"San Francisco, CA",92094
1276,2014,"San Francisco, CA",85070
1277,2013,"San Francisco, CA",77485
1278,2018,"San Francisco, CA",112376
1279,2017,"San Francisco, CA",110816
1280,2016,"San Francisco, CA",103801
1281,2015,"San Francisco, CA",92094
1282,2014,"San Francisco, CA",85070
1283,2013,"San Francisco, CA",77485
1284,2018,"San Francisco, CA",112376
1285,2017,"San Francisco, CA",110816
1286,2016,"San Francisco, CA",103801
1287,2015,"San Francisco, CA",92094
1288,2014,"San Francisco, CA",85070
1289,2013,"San Francisco, CA",77485
1290,2018,"San Francisco, CA",112376
1291,2017,"San Francisco, CA",110816
1292,2016,"San Francisco, CA",103801
1293,2015,"San Francisco, CA",92094
1294,2014,"San Francisco, CA",85070
1295,2013,"San Francisco, CA",77485
1296,2018,"Seattle, WA",93481
1297,2017,"Seattle, WA",86822
1298,2016,"Seattle, WA",83476
1299,2015,"Seattle, WA",80349
1300,2014,"Seattle, WA",70975
1301,2013,"Seattle, WA",70172
1302,2018,"Seattle, WA",93481
1303,2017,"Seattle, WA",86822
1304,2016,"Seattle, WA",83476
1305,2015,"Seattle, WA",80349
1306,2014,"Seattle, WA",70975
1307,2013,"Seattle, WA",70172
1308,2018,"Seattle, WA",93481
1309,2017,"Seattle, WA",86822
1310,2016,"Seattle, WA",83476
1311,2015,"Seattle, WA",80349
1312,2014,"Seattle, WA",70975
1313,2013,"Seattle, WA",70172
1314,2018,"Seattle, WA",93481
1315,2017,"Seattle, WA",86822
1316,2016,"Seattle, WA",83476
1317,2015,"Seattle, WA",80349
1318,2014,"Seattle, WA",70975
1319,2013,"Seattle, WA",70172
1320,2018,"Seattle, WA",93481
1321,2017,"Seattle, WA",86822
1322,2016,"Seattle, WA",83476
1323,2015,"Seattle, WA",80349
1324,2014,"Seattle, WA",70975
1325,2013,"Seattle, WA",70172
1326,2018,"Seattle, WA",93481
1327,2017,"Seattle, WA",86822
1328,2016,"Seattle, WA",83476
1329,2015,"Seattle, WA",80349
1330,2014,"Seattle, WA",70975
1331,2013,"Seattle, WA",70172
1332,2018,"Spokane, WA",47822
1333,2017,"Spokane, WA",44768
1334,2016,"Spokane, WA",43274
1335,2015,"Spokane, WA",42386
1336,2014,"Spokane, WA",42814
1337,2013,"Spokane, WA",42092
1338,2018,"Spokane, WA",47822
1339,2017,"Spokane, WA",44768
1340,2016,"Spokane, WA",43274
1341,2015,"Spokane, WA",42386
1342,2014,"Spokane, WA",42814
1343,2013,"Spokane, WA",42092
1344,2018,"Spokane, WA",47822
1345,2017,"Spokane, WA",44768
1346,2016,"Spokane, WA",43274
1347,2015,"Spokane, WA",42386
1348,2014,"Spokane, WA",42814
1349,2013,"Spokane, WA",42092
1350,2018,"Spokane, WA",47822
1351,2017,"Spokane, WA",44768
1352,2016,"Spokane, WA",43274
1353,2015,"Spokane, WA",42386
1354,2014,"Spokane, WA",42814
1355,2013,"Spokane, WA",42092
1356,2018,"Spokane, WA",47822
1357,2017,"Spokane, WA",44768
1358,2016,"Spokane, WA",43274
1359,2015,"Spokane, WA",42386
1360,2014,"Spokane, WA",42814
1361,2013,"Spokane, WA",42092
1362,2018,"Spokane, WA",47822
1363,2017,"Spokane, WA",44768
1364,2016,"Spokane, WA",43274
1365,2015,"Spokane, WA",42386
1366,2014,"Spokane, WA",42814
1367,2013,"Spokane, WA",42092
1368,2018,"St. Louis, MO",43889
1369,2017,"St. Louis, MO",41441
1370,2016,"St. Louis, MO",40346
1371,2015,"St. Louis, MO",38397
1372,2014,"St. Louis, MO",35959
1373,2013,"St. Louis, MO",34488
1374,2018,"St. Louis, MO",43889
1375,2017,"St. Louis, MO",41441
1376,2016,"St. Louis, MO",40346
1377,2015,"St. Louis, MO",38397
1378,2014,"St. Louis, MO",35959
1379,2013,"St. Louis, MO",34488
1380,2018,"St. Louis, MO",43889
1381,2017,"St. Louis, MO",41441
1382,2016,"St. Louis, MO",40346
1383,2015,"St. Louis, MO",38397
1384,2014,"St. Louis, MO",35959
1385,2013,"St. Louis, MO",34488
1386,2018,"St. Louis, MO",43889
1387,2017,"St. Louis, MO",41441
1388,2016,"St. Louis, MO",40346
1389,2015,"St. Louis, MO",38397
1390,2014,"St. Louis, MO",35959
1391,2013,"St. Louis, MO",34488
1392,2018,"St. Louis, MO",43889
1393,2017,"St. Louis, MO",41441
1394,2016,"St. Louis, MO",40346
1395,2015,"St. Louis, MO",38397
1396,2014,"St. Louis, MO",35959
1397,2013,"St. Louis, MO",34488
1398,2018,"St. Louis, MO",43889
1399,2017,"St. Louis, MO",41441
1400,2016,"St. Louis, MO",40346
1401,2015,"St. Louis, MO",38397
1402,2014,"St. Louis, MO",35959
1403,2013,"St. Louis, MO",34488
1404,2018,"Syracuse, NY",36308
1405,2017,"Syracuse, NY",34716
1406,2016,"Syracuse, NY",32704
1407,2015,"Syracuse, NY",31881
1408,2014,"Syracuse, NY",31566
1409,2013,"Syracuse, NY",31365
1410,2018,"Syracuse, NY",36308
1411,2017,"Syracuse, NY",34716
1412,2016,"Syracuse, NY",32704
1413,2015,"Syracuse, NY",31881
1414,2014,"Syracuse, NY",31566
1415,2013,"Syracuse, NY",31365
1416,2018,"Syracuse, NY",36308
1417,2017,"Syracuse, NY",34716
1418,2016,"Syracuse, NY",32704
1419,2015,"Syracuse, NY",31881
1420,2014,"Syracuse, NY",31566
1421,2013,"Syracuse, NY",31365
1422,2018,"Syracuse, NY",36308
1423,2017,"Syracuse, NY",34716
1424,2016,"Syracuse, NY",32704
1425,2015,"Syracuse, NY",31881
1426,2014,"Syracuse, NY",31566
1427,2013,"Syracuse, NY",31365
1428,2018,"Syracuse, NY",36308
1429,2017,"Syracuse, NY",34716
1430,2016,"Syracuse, NY",32704
1431,2015,"Syracuse, NY",31881
1432,2014,"Syracuse, NY",31566
1433,2013,"Syracuse, NY",31365
1434,2018,"Syracuse, NY",36308
1435,2017,"Syracuse, NY",34716
1436,2016,"Syracuse, NY",32704
1437,2015,"Syracuse, NY",31881
1438,2014,"Syracuse, NY",31566
1439,2013,"Syracuse, NY",31365
1440,2018,"Tampa, FL",54599
1441,2017,"Tampa, FL",50489
1442,2016,"Tampa, FL",50405
1443,2015,"Tampa, FL",44432
1444,2014,"Tampa, FL",45709
1445,2013,"Tampa, FL",42649
1446,2018,"Tampa, FL",54599
1447,2017,"Tampa, FL",50489
1448,2016,"Tampa, FL",50405
1449,2015,"Tampa, FL",44432
1450,2014,"Tampa, FL",45709
1451,2013,"Tampa, FL",42649
1452,2018,"Tampa, FL",54599
1453,2017,"Tampa, FL",50489
1454,2016,"Tampa, FL",50405
1455,2015,"Tampa, FL",44432
1456,2014,"Tampa, FL",45709
1457,2013,"Tampa, FL",42649
1458,2018,"Tampa, FL",54599
1459,2017,"Tampa, FL",50489
1460,2016,"Tampa, FL",50405
1461,2015,"Tampa, FL",44432
1462,2014,"Tampa, FL",45709
1463,2013,"Tampa, FL",42649
1464,2018,"Tampa, FL",54599
1465,2017,"Tampa, FL",50489
1466,2016,"Tampa, FL",50405
1467,2015,"Tampa, FL",44432
1468,2014,"Tampa, FL",45709
1469,2013,"Tampa, FL",42649
1470,2018,"Tampa, FL",54599
1471,2017,"Tampa, FL",50489
1472,2016,"Tampa, FL",50405
1473,2015,"Tampa, FL",44432
1474,2014,"Tampa, FL",45709
1475,2013,"Tampa, FL",42649